@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {normalOG,murmurOG,Noisy Murmur}

@DATA
0.066260,0.018835,2.601477,0.171837,0.201893,0.659011,0.030636,0.107071,-31.198002,7.582852,-3.482420,3.163115,-1.398137,0.628807,0.490610,-0.841617,1.101199,-0.778356,0.505918,-0.047423,-0.251486,0.005534,0.000753,0.113513,0.004719,0.012331,0.003893,0.220219,0.000389,0.002487,0.005233,0.038151,0.001638,0.069922,0.032508,0.028175,0.415514,0.036736,0.028638,0.384921,0.019200,0.064536,1.457739,0.688629,0.418260,0.445075,0.315080,0.245899,0.175582,0.143420,0.207428,0.200082,0.214111,0.127682,0.121493,0.005799,0.000888,0.067876,0.005372,0.012339,0.004905,0.085531,0.000510,0.003354,0.005633,0.024099,0.002258,0.018265,normalOG
0.064210,0.009420,2.486150,0.178479,0.211041,0.626044,0.033951,0.104867,-32.532334,7.033928,-3.235184,2.991274,-1.363757,0.542885,0.537706,-0.742036,1.059799,-0.655348,0.528111,0.028820,-0.193885,0.004652,0.000771,0.123584,0.004054,0.008646,0.003039,0.201869,0.000311,0.002009,0.005066,0.052552,0.001408,0.067320,0.034722,0.015483,0.511426,0.048474,0.039744,0.418553,0.024813,0.080562,1.654303,0.869224,0.605575,0.450744,0.328196,0.256466,0.174913,0.159732,0.236862,0.185453,0.203965,0.138001,0.130553,0.005068,0.001057,0.062538,0.006211,0.007301,0.004308,0.088382,0.000371,0.002746,0.005113,0.035281,0.002195,0.018965,normalOG
0.054774,0.010033,2.519574,0.163870,0.201543,0.506737,0.037252,0.082750,-33.171561,7.008751,-2.881724,2.819300,-1.313298,0.659478,0.545444,-0.738590,1.030704,-0.653230,0.492131,0.065499,-0.159776,0.003496,0.000686,0.123983,0.003491,0.011237,0.002884,0.196574,0.000207,0.002298,0.004098,0.058850,0.001060,0.069164,0.024654,0.016526,0.437288,0.038242,0.039854,0.311151,0.023225,0.044293,1.211628,0.775953,0.412978,0.381220,0.275956,0.222153,0.196979,0.166141,0.189621,0.171738,0.183909,0.161335,0.134390,0.003767,0.001279,0.081149,0.005606,0.009110,0.004203,0.087444,0.000226,0.004690,0.004093,0.039362,0.002191,0.017594,normalOG
0.059146,0.013964,2.422660,0.162864,0.199443,0.553094,0.030679,0.091350,-32.498600,7.224432,-3.031083,2.970169,-1.356299,0.632809,0.557734,-0.700090,1.077640,-0.688890,0.532104,0.022877,-0.182251,0.004756,0.001007,0.120041,0.004299,0.010072,0.002876,0.197437,0.000268,0.002012,0.004586,0.056690,0.001216,0.065398,0.028883,0.022818,0.520067,0.044181,0.042659,0.387423,0.019609,0.058089,1.731325,0.905117,0.526378,0.492771,0.351645,0.268801,0.193911,0.171269,0.216402,0.223405,0.187645,0.143206,0.120153,0.004658,0.001935,0.059104,0.007066,0.008904,0.004561,0.080721,0.000365,0.003379,0.004186,0.031740,0.001888,0.018003,normalOG
0.074679,0.024080,2.678829,0.187673,0.219978,0.638993,0.025022,0.104346,-32.173863,7.059187,-3.306077,3.228938,-1.293218,0.701146,0.670457,-0.744056,1.108488,-0.678112,0.533710,0.024147,-0.219924,0.003813,0.000874,0.134074,0.003165,0.028526,0.002945,0.161474,0.000513,0.001594,0.006450,0.043659,0.001019,0.062055,0.033477,0.055116,0.491672,0.039477,0.034644,0.373179,0.014295,0.060891,1.952237,0.866546,0.466491,0.391990,0.350837,0.263834,0.185180,0.163541,0.214958,0.189560,0.204952,0.131209,0.133562,0.004594,0.001121,0.078291,0.004129,0.021171,0.004008,0.082268,0.000720,0.002102,0.006158,0.034296,0.001425,0.016150,normalOG
0.092379,0.023456,2.488824,0.214702,0.242892,0.758042,0.019434,0.121667,-31.618541,6.955879,-3.517391,3.620053,-1.399585,0.550397,0.585496,-0.813498,1.208381,-0.707145,0.554855,0.035598,-0.246423,0.005576,0.000919,0.121892,0.002800,0.017739,0.002171,0.150088,0.000547,0.002026,0.007432,0.059242,0.001250,0.057372,0.038087,0.044050,0.639722,0.037374,0.024663,0.351408,0.008841,0.063566,2.248863,0.885468,0.430858,0.299116,0.320146,0.314654,0.154091,0.176133,0.197837,0.226656,0.231399,0.112623,0.119967,0.004076,0.000747,0.070596,0.002387,0.012492,0.001888,0.061336,0.000424,0.002494,0.006514,0.033834,0.001181,0.014053,normalOG
0.103314,0.017323,2.692187,0.207288,0.225323,0.859282,0.023059,0.147905,-32.460581,6.927242,-3.281954,3.345293,-1.218694,0.445114,0.565417,-0.799811,1.045221,-0.673443,0.403344,0.043731,-0.230172,0.006844,0.001045,0.117590,0.003594,0.019143,0.002461,0.163136,0.000776,0.002225,0.009023,0.049943,0.001183,0.056890,0.048020,0.039040,0.469383,0.065200,0.049747,0.545855,0.014215,0.110241,1.433357,1.005288,0.412886,0.310993,0.225769,0.248601,0.186929,0.131577,0.165270,0.176128,0.181323,0.122881,0.131253,0.006559,0.001462,0.051157,0.003302,0.016353,0.002203,0.077552,0.001065,0.002190,0.010329,0.025657,0.001417,0.016015,normalOG
0.093216,0.023331,2.689643,0.192000,0.205661,0.904034,0.025191,0.144833,-31.199022,7.599225,-3.602888,2.954880,-1.419766,0.737318,0.548134,-0.888408,1.103681,-0.720857,0.521359,0.009527,-0.209410,0.006176,0.002095,0.110073,0.006010,0.021399,0.005059,0.152629,0.001061,0.003771,0.008108,0.046802,0.002160,0.054694,0.041460,0.046919,0.373707,0.038450,0.029454,0.496506,0.013418,0.083844,1.738170,0.787137,0.453243,0.553962,0.323164,0.241435,0.164712,0.199429,0.252735,0.220595,0.222227,0.141163,0.108932,0.004901,0.002842,0.068339,0.007711,0.015754,0.006344,0.080895,0.001362,0.003693,0.006219,0.029421,0.003201,0.017011,normalOG
0.080905,0.016138,2.698957,0.180631,0.205391,0.772739,0.028251,0.113429,-31.894439,7.407924,-3.299228,2.974941,-1.315044,0.760812,0.496064,-0.964425,1.043031,-0.707380,0.441478,-0.026242,-0.247944,0.006421,0.000775,0.117052,0.006562,0.017693,0.003853,0.159939,0.000655,0.003226,0.005640,0.056850,0.001402,0.058817,0.032899,0.033789,0.372583,0.034788,0.033970,0.340403,0.017229,0.048211,1.492183,0.719238,0.371840,0.453109,0.287336,0.226849,0.222897,0.176267,0.197541,0.210759,0.234985,0.141967,0.131370,0.007017,0.001027,0.063572,0.008140,0.014482,0.004269,0.092041,0.000890,0.004584,0.005471,0.030794,0.001804,0.018204,normalOG
0.076036,0.006886,2.584545,0.198163,0.237300,0.610120,0.028991,0.092646,-32.447976,6.754119,-3.252956,3.478541,-1.275010,0.676550,0.655796,-0.867820,1.086459,-0.704543,0.445253,0.019882,-0.282515,0.006475,0.000401,0.110809,0.003751,0.016569,0.002308,0.199433,0.000364,0.001371,0.007854,0.042700,0.000671,0.065610,0.040019,0.013469,0.440202,0.039382,0.036262,0.341259,0.017169,0.052230,1.571939,0.935504,0.338526,0.339794,0.225133,0.248038,0.227050,0.199134,0.214895,0.184632,0.198954,0.150017,0.120386,0.007283,0.000378,0.066863,0.004407,0.015588,0.002884,0.096872,0.000420,0.001778,0.009307,0.023963,0.000848,0.021460,normalOG
